Id,Name,Type,Category,PP,Power,Accuracy,Description,Effect,CritRate,EffectRate,Priority,Target
0,Absorb,Grass,Special,20,20,100,A GRASS-type attack. It adds half the HP it drained from the target to the attacker's HP.,N/A,N/A,N/A,0,Selected target
1,Acid,Poison,Physical,30,40,100,A POISON-type attack. Has a one-in-three chance of lowering the target's DEFENSE.,N/A,N/A,33,0,All opponent Pokémon in range
2,Acid Armor,Poison,Status,40,N/A,100,Melts the user's body for protection. A move that sharply raises DEFENSE.,N/A,N/A,N/A,0,User
3,Agility,Psychic,Status,30,N/A,100,A special technique that greatly boosts the user's SPEED. Can normally be used up to three times.,N/A,N/A,N/A,0,User
4,Amnesia,Psychic,Status,20,N/A,100,Sharply raises the user's SPECIAL stat. Also increases protection against special attacks.,N/A,N/A,N/A,0,User
5,Aurora Beam,Ice,Special,20,65,100,An ICE-type attack. Has a one-in-three chance of reducing the target's ATTACK power.,N/A,N/A,33,0,Selected target
6,Barrage,Normal,Physical,20,15,85,Several spheres are thrown consecutively at the target to inflict damage.,N/A,N/A,N/A,0,Selected target
7,Barrier,Psychic,Status,30,N/A,100,Instantly forms a barrier between the user and the opponent. DEFENSE is sharply increased.,N/A,N/A,N/A,0,User
8,Bide,Normal,Status,10,N/A,100,"The user waits for several turns. At the end, it returns double the damage it received.",N/A,N/A,N/A,1,User
9,Bind,Normal,Physical,20,15,75,Traps and squeezes the target over several turns. The target cannot move while under attack.,N/A,N/A,N/A,0,Selected target
10,Bite,Normal,Physical,25,60,100,"A bite made using sharp fangs. This may cause the opponent to flinch, and it might not attack.",N/A,N/A,10,0,Selected target
11,Blizzard,Ice,Special,5,120,90,The strongest ICE-type attack. Has a one-in-ten chance of freezing the target solid.,N/A,N/A,10,0,All opponent Pokémon in range
12,Body Slam,Normal,Physical,15,85,100,A NORMAL-type attack. Has a one-in-three chance of paralyzing the target if it connects.,N/A,N/A,33,0,Selected target
13,Bone Club,Ground,Physical,20,65,85,"A physical attack using a bone as a club. If it connects, it may cause the target to flinch.",N/A,N/A,10,0,Selected target
14,Bonemerang,Ground,Physical,10,50,90,A boomerang made of bone is thrown to inflict damage twice -- on the way out and on its return.,N/A,N/A,N/A,0,Selected target
15,Bubble,Water,Special,30,20,100,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,30,0,All opponent Pokémon in range
16,Bubble Beam,Water,Special,20,65,100,A WATER-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,33,0,Selected target
17,Clamp,Water,Special,10,35,75,The target is gripped in the attacker's shell for two to five turns. It can't move while under attack.,N/A,N/A,N/A,0,Selected target
18,Comet Punch,Normal,Physical,15,18,85,"Although each slap is weak, this attack hits the target two to five times in succession.",N/A,N/A,N/A,0,Selected target
19,Confuse Ray,Ghost,Status,10,N/A,100,A sinister flash of light makes the target confused. A special GHOST-type technique.,N/A,N/A,N/A,0,Selected target
20,Confusion,Psychic,Special,25,50,100,A PSYCHIC-type attack. Has a one-in-ten chance of leaving the target confused.,N/A,N/A,10,0,Selected target
21,Constrict,Normal,Physical,35,10,100,A NORMAL-type attack. Has a one-in-three chance of reducing the target's SPEED.,N/A,N/A,10,0,Selected target
22,Conversion,Normal,Status,30,N/A,100,A special move that switches the user's elemental type to that of the target.,N/A,N/A,N/A,0,User
23,Counter,Fighting,Physical,20,N/A,100,A retaliation move that pays back double the damage of a physical attack. Highly accurate.,N/A,N/A,N/A,-5,Special
24,Crabhammer,Water,Special,10,90,85,A move that is used only by Pokémon with pincers. Likely to get a critical hit.,N/A,N/A,N/A,0,Selected target
25,Cut,Normal,Physical,30,50,95,A NORMAL-type attack. Also used for cutting small bushes to open new paths.,N/A,N/A,N/A,0,Selected target
26,Defense Curl,Normal,Status,40,N/A,100,Raises the user's DEFENSE. Can normally be used up to six times in a row.,N/A,N/A,N/A,0,User
27,Dig,Ground,Physical,10,100,100,"The attacker digs underground in the first turn, then pops up in the next turn to attack.",N/A,N/A,N/A,0,Selected target
28,Disable,Normal,Status,20,N/A,55,A technique that disables one of the target's moves. The disabled move can't be used until it wears off.,N/A,N/A,N/A,0,Selected target
29,Dizzy Punch,Normal,Physical,10,70,100,A NORMAL-type attack. The punch is relatively strong and highly accurate.,N/A,N/A,20,0,Selected target
30,Double-Edge,Normal,Physical,15,100,100,A charging tackle attack. One quarter of the damage it inflicts comes back to hurt the attacker.,N/A,N/A,N/A,0,Selected target
31,Double Kick,Fighting,Physical,30,30,100,"A FIGHTING-type attack. As the name implies, it is actually two quick kicks in succession.",N/A,N/A,N/A,0,Selected target
32,Double Slap,Normal,Physical,10,15,85,"Although each slap is weak, this attack hits the target two to five times in succession.",N/A,N/A,N/A,0,Selected target
33,Double Team,Normal,Status,15,N/A,100,"Creates illusionary copies of the user. The copies disorient the enemy, reducing its accuracy.",N/A,N/A,N/A,0,User
34,Dragon Rage,Dragon,Special,10,N/A,100,"A DRAGON-type attack. It inflicts a set amount of damage, regardless of the target's type.",N/A,N/A,N/A,0,Selected target
35,Dream Eater,Psychic,Special,15,100,100,Works only on sleeping Pokémon. This technique steals the target's HP and adds it to the user's HP.,N/A,N/A,N/A,0,Selected target
36,Drill Peck,Flying,Physical,20,80,100,A standard FLYING-type attack. It is strong and highly likely to hit the target.,N/A,N/A,N/A,0,Selected target
37,Earthquake,Ground,Physical,10,100,100,An attack that inflicts damage by shaking the ground. It is useless against FLYING-type Pokémon.,N/A,N/A,N/A,0,All adjacent to user
38,Egg Bomb,Normal,Physical,10,100,75,"A NORMAL-type attack. An egg is launched at the target. It may miss, however.",N/A,N/A,N/A,0,Selected target
39,Ember,Fire,Special,25,40,100,A FIRE-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.,N/A,N/A,10,0,Selected target
40,Explosion,Normal,Physical,5,170,100,"The most powerful attack of all. However, the attacker faints after using this move.",N/A,N/A,N/A,0,All adjacent to user
41,Fire Blast,Fire,Special,5,120,85,The strongest FIRE-type attack. Has a one-in-three chance of inflicting a burn on the target.,N/A,N/A,33,0,Selected target
42,Fire Punch,Fire,Special,15,75,100,A special FIRE-type attack. Has a one-in-ten chance of inflicting a burn on the target.,N/A,N/A,10,0,Selected target
43,Fire Spin,Fire,Special,15,15,70,A FIRE-type attack that lasts two to five turns. The target cannot move while surrounded by flames.,N/A,N/A,N/A,0,Selected target
44,Fissure,Ground,Physical,5,N/A,30,Causes a single-hit knockout if it hits. Useless against FLYING-type Pokémon.,N/A,N/A,N/A,0,Selected target
45,Flamethrower,Fire,Special,15,95,100,A powerful FIRE-type attack. Has a one-in-ten chance of leaving the target with a damaging burn.,N/A,N/A,10,0,Selected target
46,Flash,Normal,Status,20,N/A,70,Creates a brilliant flash of light that blinds the target. This technique reduces the opponent's accuracy.,N/A,N/A,N/A,0,Selected target
47,Fly,Flying,Physical,15,70,95,"The Pokémon flies high, then strikes in the next turn. Used for flying to places already visited.",N/A,N/A,N/A,0,Selected target
48,Focus Energy,Normal,Status,30,N/A,100,Raises the likelihood of nailing the opponent's weak spot for a critical hit.,N/A,N/A,N/A,0,User
49,Fury Attack,Normal,Physical,20,15,85,A NORMAL-type attack. The Pokémon rapidly jabs at its opponent several times.,N/A,N/A,N/A,0,Selected target
50,Fury Swipes,Normal,Physical,15,18,80,The target is scratched by sharp claws two to five times in quick succession.,N/A,N/A,N/A,0,Selected target
51,Glare,Normal,Status,30,N/A,75,The target is transfixed with terrifying sharp eyes. The target is frightened into paralysis.,N/A,N/A,N/A,0,Selected target
52,Growl,Normal,Status,40,N/A,100,A technique that lowers the target's ATTACK power. Can normally be used up to six times.,N/A,N/A,N/A,0,All opponent Pokémon in range
53,Growth,Normal,Status,40,N/A,100,Raises SPECIAL to make special attacks stronger and enhance protection against special moves.,N/A,N/A,N/A,0,User
54,Guillotine,Normal,Physical,5,N/A,30,A single-hit knockout attack. Learned only by Pokémon that have large pincers.,N/A,N/A,N/A,0,Selected target
55,Gust,Normal,Physical,35,40,100,A NORMAL-type attack used by bird Pokémon. A powerful wind is generated by flapping wings.,N/A,N/A,N/A,0,Selected target
56,Harden,Normal,Status,30,N/A,100,Raises the user's DEFENSE. Useful when battling physically strong Pokémon.,N/A,N/A,N/A,0,User
57,Haze,Ice,Status,30,N/A,100,"Eliminates all changes affecting status, such as SPEED and accuracy, of both Pokémon in battle.",N/A,N/A,N/A,0,Field
58,Headbutt,Normal,Physical,15,70,100,A NORMAL-type attack. Has a one-in-three chance of making the target flinch if it connects.,N/A,N/A,33,0,Selected target
59,Hi Jump Kick,Fighting,Physical,20,85,90,"Stronger than a JUMP KICK. If it misses, the attacker sustains 1/8 the damage it should have caused.",N/A,N/A,N/A,0,Selected target
60,Horn Attack,Normal,Physical,25,65,100,A NORMAL-type attack. A sharp horn is driven hard into the target to inflict damage.,N/A,N/A,N/A,0,Selected target
61,Horn Drill,Normal,Physical,5,N/A,30,A single-hit knockout attack. Learned only by Pokémon with a horn or horns.,N/A,N/A,N/A,0,Selected target
62,Hydro Pump,Water,Special,5,120,80,"The strongest WATER-type attack. However, while it is powerful, it may miss the target.",N/A,N/A,N/A,0,Selected target
63,Hyper Beam,Normal,Physical,5,150,90,"An extremely powerful attack. The attacker becomes so tired, it has to rest the next turn.",N/A,N/A,N/A,0,Selected target
64,Hyper Fang,Normal,Physical,15,80,90,A NORMAL-type attack. Has a one-in-ten chance of making the target flinch.,N/A,N/A,10,0,Selected target
65,Hypnosis,Psychic,Status,20,N/A,60,A special PSYCHIC-type move. The target is hypnotized into a deep sleep.,N/A,N/A,N/A,0,Selected target
66,Ice Beam,Ice,Special,10,95,100,An ICE-type attack. Has a one-in-ten chance of freezing the target solid.,N/A,N/A,10,0,Selected target
67,Ice Punch,Ice,Special,15,75,100,A special ICE-type attack. Has a one-in-ten chance of freezing the target.,N/A,N/A,10,0,Selected target
68,Jump Kick,Fighting,Physical,25,70,95,"A forceful FIGHTING-type attack. If it misses, however, the attacker gets hurt.",N/A,N/A,N/A,0,Selected target
69,Karate Chop,Normal,Physical,25,50,100,A NORMAL-type attack. Often turns into a critical hit and inflicts double the damage.,N/A,N/A,N/A,0,Selected target
70,Kinesis,Psychic,Status,15,N/A,80,A special move of bending spoons to confound the enemy. Makes the user harder to hit.,N/A,N/A,N/A,0,Selected target
71,Leech Life,Bug,Physical,15,20,100,An HP-draining attack. It adds half the HP it drained from the target to the attacker's HP.,N/A,N/A,N/A,0,Selected target
72,Leech Seed,Grass,Status,10,N/A,90,Plants a seed on the target Pokémon. The seed slowly drains the target's HP for the attacker.,N/A,N/A,N/A,0,Selected target
73,Leer,Normal,Status,30,N/A,100,"A technique that lowers the target's DEFENSE. Useful against tough, armored Pokémon.",N/A,N/A,N/A,0,All opponent Pokémon in range
74,Lick,Ghost,Physical,30,20,100,A GHOST-type attack. Has a one-in-three chance of leaving the target with paralysis.,N/A,N/A,33,0,Selected target
75,Light Screen,Psychic,Status,30,N/A,100,Reduces damage from special attacks by about half. A special PSYCHIC-type technique.,N/A,N/A,N/A,0,User and Allies
76,Lovely Kiss,Normal,Status,10,N/A,75,"A special move that puts the target to sleep with a big kiss. (Actually, the victim passes out.)",N/A,N/A,N/A,0,Selected target
77,Low Kick,Fighting,Physical,20,50,90,A FIGHTING-type attack. Has a one-in-three chance of making the target flinch if it connects.,N/A,N/A,33,0,Selected target
78,Meditate,Psychic,Status,40,N/A,100,A special technique that boosts the user's ATTACK power. Can normally be used up to six times.,N/A,N/A,N/A,0,User
79,Mega Drain,Grass,Special,10,40,100,A GRASS-type attack. It adds half the HP it drained from the target to the attacker's HP.,N/A,N/A,N/A,0,Selected target
80,Mega Kick,Normal,Physical,5,120,75,"A NORMAL-type attack. Out of all the Pokémon kicking attacks, this is the strongest.",N/A,N/A,N/A,0,Selected target
81,Mega Punch,Normal,Physical,20,80,85,A NORMAL-type attack move. It is highly accurate and relatively powerful.,N/A,N/A,N/A,0,Selected target
82,Metronome,Normal,Status,10,N/A,100,"The user waggles its finger, triggering a move. There is no telling what will happen.",N/A,N/A,N/A,0,User
83,Mimic,Normal,Status,10,N/A,100,"A move for learning one of the opponent's moves, for use during that battle only.",N/A,N/A,N/A,0,Selected target
84,Minimize,Normal,Status,20,N/A,100,Reduces the user's size and makes it harder to hit. Can normally be used up to six times.,N/A,N/A,N/A,0,User
85,Mirror Move,Flying,Status,20,N/A,100,A move that strikes back with the opponent's last move. This move comes after the enemy's move.,N/A,N/A,N/A,0,Selected target
86,Mist,Ice,Status,30,N/A,100,"Provides full protection against any enemy status attack, such as those that lower DEFENSE.",N/A,N/A,N/A,0,User and Allies
87,Night Shade,Ghost,Status,15,N/A,100,"A GHOST-type attack. Highly accurate, it inflicts damage regardless of the target's type.",N/A,N/A,N/A,0,Selected target
88,Pay Day,Normal,Physical,20,40,100,A move that also nets money at the end of battle. How much depends on the attack frequency and level.,N/A,N/A,N/A,0,Selected target
89,Peck,Flying,Physical,35,35,100,A standard FLYING-type attack. It is favored by Pokémon that have beaks and/or horns.,N/A,N/A,N/A,0,Selected target
90,Petal Dance,Grass,Special,20,70,100,"A dance-like attack that lasts two to three turns. Afterwards, the attacker becomes confused.",N/A,N/A,N/A,0,Random Opponent
91,Pin Missile,Bug,Physical,20,14,85,An attack that fires many needle-like projectiles from the body. Strikes several times.,N/A,N/A,N/A,0,Selected target
92,Poison Gas,Poison,Status,40,N/A,55,A poisonous cloud of gas is forcefully expelled to poison the target.,N/A,N/A,N/A,0,All opponent Pokémon in range
93,Poison Powder,Poison,Status,35,N/A,75,"A technique that poisons the target. If poisoned, the victim loses HP steadily.",N/A,N/A,20,0,Selected target
94,Poison Sting,Poison,Physical,35,15,100,A POISON-type attack. Has a one-in- five chance of leaving the target  with the lingering effects of poison.,N/A,N/A,N/A,0,Selected target
95,Pound,Normal,Physical,35,40,100,A NORMAL-type attack. Slightly stronger than TACKLE. Many Pokémon know this move.,N/A,N/A,N/A,0,Selected target
96,Psybeam,Psychic,Special,20,65,100,A PSYCHIC-type attack. Has a one-in-ten chance of making the target confused.,N/A,N/A,10,0,Selected target
97,Psychic,Psychic,Special,10,90,100,A PSYCHIC-type attack. Has a one-in-three chance of lowering the target's SPECIAL rating.,N/A,N/A,30,0,Selected target
98,Psywave,Psychic,Special,15,N/A,80,A PSYCHIC-type attack of varying intensity. It occasionally inflicts  heavy damage.,N/A,N/A,N/A,0,Selected target
99,Quick Attack,Normal,Physical,30,40,100,"An attack that always strikes first. If both Pokémon use this, the one with higher SPEED attacks first.",N/A,N/A,N/A,1,Selected target
100,Rage,Normal,Physical,20,20,100,A non-stop attack move. The user's ATTACK power increases every time it sustains damage.,N/A,N/A,N/A,0,Selected target
101,Razor Leaf,Grass,Special,25,55,95,A GRASS-type attack that sends sharp-edged leaves at the target. Likely to get a critical hit.,N/A,N/A,N/A,0,All opponent Pokémon in range
102,Razor Wind,Normal,Physical,10,80,75,A two-turn attack with the wind attack in the second turn. Learned by many FLYING-type Pokémon.,N/A,N/A,N/A,0,All opponent Pokémon in range
103,Recover,Normal,Status,20,N/A,100,Restores HP by 1/2 of the user's maximum HP. Few Pokémon learn this technique on their own.,N/A,N/A,N/A,0,User
104,Reflect,Psychic,Status,20,N/A,100,Reduces damage from physical attacks by about half. A special PSYCHIC-type technique.,N/A,N/A,N/A,0,User and Allies
105,Rest,Psychic,Status,10,N/A,100,The user takes a nap to fully restore its HP and recover from any status abnormalities.,N/A,N/A,N/A,0,User
106,Roar,Normal,Status,20,N/A,100,A terrifying roar that drives wild Pokémon away. It is useful only in the wild.,N/A,N/A,N/A,-6,Selected target
107,Rock Slide,Rock,Physical,10,75,90,A ROCK-type attack that hits the target with an avalanche of rocks and boulders.,N/A,N/A,N/A,0,All opponent Pokémon in range
108,Rock Throw,Rock,Physical,15,50,65,"A ROCK-type attack. As the name implies, a huge boulder is dropped on the target.",N/A,N/A,N/A,0,Selected target
109,Rolling Kick,Fighting,Physical,15,60,85,A sharp FIGHTING-type attack. Has a one-in-three chance of making the target flinch if it connects.,N/A,N/A,33,0,Selected target
110,Sand-Attack,Normal,Status,15,N/A,100,An attack in which sand is used to blind the target and reduce its attack accuracy.,N/A,N/A,N/A,0,Selected target
111,Scratch,Normal,Physical,35,40,100,A NORMAL-type attack. Sharp claws are used to inflict damage on the target.,N/A,N/A,N/A,0,Selected target
112,Screech,Normal,Status,40,N/A,85,A move that makes a horrible noise. It sharply reduces the target's DEFENSE.,N/A,N/A,N/A,0,Selected target
113,Seismic Toss,Fighting,Physical,20,N/A,100,A FIGHTING-type attack. Throws the target with enough force to flip the world upside down.,N/A,N/A,N/A,0,Selected target
114,Self-Destruct,Normal,Physical,5,130,100,"The user explodes, inflicting damage on the enemy, then faints. Useless against GHOST-type.",N/A,N/A,N/A,0,All adjacent to user
115,Sharpen,Normal,Status,30,N/A,100,Raises the user's ATTACK power. The edges of the Pokémon are made harder for more impact.,N/A,N/A,N/A,0,User
116,Sing,Normal,Status,15,N/A,55,A special NORMAL-type technique. A soothing melody lulls the target to sleep.,N/A,N/A,N/A,0,Selected target
117,Skull Bash,Normal,Physical,15,100,100,"In the first turn, the attacker tucks in its head. The next turn, it head-butts at full steam.",N/A,N/A,N/A,0,Selected target
118,Sky Attack,Flying,Physical,5,140,90,"The strongest FLYING-type attack. Energy is stored in the first turn, then fired the next turn.",N/A,N/A,N/A,0,Selected target
119,Slam,Normal,Physical,20,80,75,A NORMAL-type attack move. The attacker uses an appendage (e.g. tail) to slam the target hard.,N/A,N/A,N/A,0,Selected target
120,Slash,Normal,Physical,20,70,100,A NORMAL-type attack. It has a high probability of a critical hit for inflicting double the damage.,N/A,N/A,N/A,0,Selected target
121,Sleep Powder,Grass,Status,15,N/A,75,Induces sleep. A Pokémon will stay asleep for several turns if an item isn't used to wake it.,N/A,N/A,N/A,0,Selected target
122,Sludge,Poison,Physical,20,65,100,A POISON-type attack. Has a fifty-fifty chance of poisoning the target.,N/A,N/A,50,0,Selected target
123,Smog,Poison,Physical,20,20,70,Smog is spewed as a cloud. Has a fifty-fifty chance of poisoning the target.,N/A,N/A,50,0,Selected target
124,Smokescreen,Normal,Status,20,N/A,100,Creates an obscuring cloud of smoke that reduces the enemy's accuracy.,N/A,N/A,N/A,0,Selected target
125,Soft-Boiled,Normal,Status,10,N/A,100,Restores HP by 1/2 of the user's maximum HP. May also be used in the field.,N/A,N/A,N/A,0,User
126,Solar Beam,Grass,Special,10,120,100,"The strongest GRASS-type attack. Energy is absorbed in the first turn, then fired the next turn.",N/A,N/A,N/A,0,Selected target
127,Sonic Boom,Normal,Physical,20,N/A,90,A NORMAL-type attack. It inflicts a set amount of damage regardless of the target's type.,N/A,N/A,N/A,0,Selected target
128,Spike Cannon,Normal,Physical,15,20,100,A physical attack consisting of two to five consecutive hits. Highly accurate.,N/A,N/A,N/A,0,Selected target
129,Splash,Normal,Status,40,N/A,100,A move that involves only flopping and SPLASHing around in front of the opponent. It has no effect.,N/A,N/A,N/A,0,User
130,Spore,Grass,Status,15,N/A,100,"Special spores are scattered from mushrooms. If the opponent inhales the spores, it will fall asleep.",N/A,N/A,N/A,0,Selected target
131,Stomp,Normal,Physical,20,65,100,A NORMAL-type attack. Has a one-in-three chance of making the target flinch if it connects.,N/A,N/A,33,0,Selected target
132,Strength,Normal,Physical,15,80,100,A very powerful NORMAL-type attack. Also used for moving obstacles like boulders.,N/A,N/A,N/A,0,Selected target
133,String Shot,Bug,Status,40,N/A,95,Strings are sprayed out and wrapped around the target to reduce its SPEED.,N/A,N/A,N/A,0,All opponent Pokémon in range
134,Struggle,Normal,Physical,10,50,100,Used only if the user runs totally out of PP. The user is hit with 1/4 of the  damage it inflicts.,N/A,N/A,N/A,0,Random Opponent
135,Stun Spore,Grass,Status,30,N/A,75,"A special move that causes paralysis. When paralyzed, the victim has a one-in-four chance of immobility.",N/A,N/A,N/A,0,Selected target
136,Submission,Fighting,Physical,25,80,80,The strongest FIGHTING attack. One quarter of the damage it inflicts comes back to hurt the attacker.,N/A,N/A,N/A,0,Selected target
137,Substitute,Normal,Status,10,N/A,100,Uses 1/4 of the user's maximum HP to create a substitute that takes the opponent's attacks.,N/A,N/A,N/A,0,User
138,Super Fang,Normal,Physical,10,N/A,90,"If it hits, this attack cuts the target's HP in half. Learned by Pokémon with developed fangs.",N/A,N/A,N/A,0,Selected target
139,Supersonic,Normal,Status,20,N/A,55,A special NORMAL-type technique. Supersonic sound waves are used to confuse the target.,N/A,N/A,N/A,0,Selected target
140,Surf,Water,Special,15,95,100,A WATER-type attack. The power of this technique is strong and highly accurate.,N/A,N/A,N/A,0,All adjacent to user
141,Swift,Normal,Physical,20,60,100,"A NORMAL-type attack. It is highly accurate, so it can be counted on to inflict damage.",N/A,N/A,N/A,0,All opponent Pokémon in range
142,Swords Dance,Normal,Status,30,N/A,100,A special move that greatly boosts the user's ATTACK power. Can normally be used up to three times.,N/A,N/A,N/A,0,User
143,Tackle,Normal,Physical,35,35,95,A NORMAL-type attack. Many Pokémon know this attack right from the start.,N/A,N/A,N/A,0,Selected target
144,Tail Whip,Normal,Status,30,N/A,100,"A technique that lowers the target's DEFENSE. Useful against tough, armored Pokémon.",N/A,N/A,N/A,0,All opponent Pokémon in range
145,Take Down,Normal,Physical,20,90,85,A charging attack. One quarter of the damage it inflicts comes back to hurt the attacker.,N/A,N/A,N/A,0,Selected target
146,Teleport,Psychic,Status,20,N/A,100,A special technique for instantly escaping from wild Pokémon. Useful in the wild only.,N/A,N/A,N/A,0,User
147,Thrash,Normal,Physical,20,90,100,"An attack that lasts two to three turns. Afterwards, the attacker becomes confused.",N/A,N/A,N/A,0,Random Opponent
148,Thunder,Electric,Special,10,120,70,The strongest of all ELECTRIC-type attacks. Has a one-in-ten chance of paralyzing the target.,N/A,N/A,10,0,Selected target
149,Thunderbolt,Electric,Special,15,95,100,An ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.,N/A,N/A,10,0,Selected target
150,Thunder Punch,Electric,Special,15,75,100,A special ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.,N/A,N/A,10,0,Selected target
151,Thunder Shock,Electric,Special,30,40,100,An ELECTRIC-type attack. Has a one-in-ten chance of paralyzing the target.,N/A,N/A,N/A,0,Selected target
152,Thunder Wave,Electric,Status,20,N/A,100,"A special move that causes paralysis. When paralyzed, the victim has a one-in-four chance of immobility.",N/A,N/A,10,0,Selected target
153,Toxic,Poison,Status,10,N/A,85,A technique that badly poisons the target. The amount of damage from the poison increases every turn.,N/A,N/A,N/A,0,Selected target
154,Transform,Normal,Status,10,N/A,100,"Transforms the user into a copy of the target, including the type. All moves have only five PP each.",N/A,N/A,N/A,0,Selected target
155,Tri Attack,Normal,Physical,10,80,100,A NORMAL-type attack. A triangular field of energy is created and launched at the target.,N/A,N/A,N/A,0,Selected target
156,Twineedle,Bug,Physical,20,25,100,An attack that strikes twice. The target may occasionally become poisoned.,N/A,N/A,N/A,0,Selected target
157,Vice Grip,Normal,Physical,30,55,100,A NORMAL-type attack used only by Pokémon with pincers. The target is gripped and injured.,N/A,N/A,N/A,0,Selected target
158,Vine Whip,Grass,Special,10,35,100,A GRASS-type attack. The Pokémon uses its cruel whips to strike the opponent.,N/A,N/A,N/A,0,Selected target
159,Waterfall,Water,Special,15,80,100,A WATER-type attack. The target is hit with a blow packing the power of fish traveling up waterfalls.,N/A,N/A,N/A,0,Selected target
160,Water Gun,Water,Special,25,40,100,A WATER-type attack. Stronger than BUBBLE. Many WATER-type Pokémon learn this move.,N/A,N/A,N/A,0,Selected target
161,Whirlwind,Normal,Status,20,N/A,85,Generates a powerful wind that blows away wild Pokémon. Useful in the wild only.,N/A,N/A,N/A,-6,Selected target
162,Wing Attack,Flying,Physical,35,35,100,A FLYING-type attack. The attacking Pokémon spreads its wings and charges at the target.,N/A,N/A,N/A,0,Selected target
163,Withdraw,Water,Status,40,N/A,100,"Used mainly by Pokémon with shells. By withdrawing into the shell, DEFENSE is increased.",N/A,N/A,N/A,0,User
164,Wrap,Normal,Physical,20,15,85,Traps and squeezes the target over two to five turns. The target cannot move while under attack.,N/A,N/A,N/A,0,Selected target
